Mean1,Sd1,Mean2,Sd2,Layer,Epoch,Method
0.974820974694324,0.011377184079913373,0.8030806746662961,0.17206520937919972,1,1,STOL
0.9671457607523275,0.010968280085070942,0.7168571612441128,0.10887749096938175,2,1,STOL
0.9363430210325996,0.014332728964014732,0.5804241008093048,0.0551752713837897,3,1,STOL
0.9350438713264221,0.014491810188818724,0.4879374807454865,0.04688171667551297,4,1,STOL
0.9102109486711774,0.01754905327337549,0.4621755451002133,0.03623609024141389,5,1,STOL
0.9161039898398591,0.016103982768920444,0.5017940964878903,0.03851500112797727,6,1,STOL
0.8566697777157098,0.022166194841190444,0.625330679318969,0.040060646374070544,7,1,STOL
0.8253665803031335,0.024839408488467038,0.6341958755720287,0.039895668226326286,8,1,STOL
0.8025526289903248,0.02512154630558878,0.6485034339559216,0.03911103631121854,9,1,STOL
0.8629521267362197,0.017529189298818543,0.6366617137735541,0.03820522576394407,10,1,STOL
0.8031961901087157,0.01925528945154295,0.8429440756766042,0.04671188301951287,11,1,STOL
0.7640400803653897,0.02262254927327821,0.8617390602559958,0.04642289219465163,12,1,STOL
0.7371480808367955,0.01746170754563043,0.8854632634817409,0.04654650953590537,13,1,STOL
0.8824007428715079,0.011148093320553124,0.6219080172946603,0.03441642875033691,14,1,STOL
0.8847525701327452,0.013615103808637018,0.7558986198123683,0.038558798151157925,15,1,STOL
0.8336050425693107,0.018967266554602076,0.6601828229106801,0.03390246459091908,16,1,STOL
0.8463360481011882,0.01638983844813784,0.6789083792213899,0.0327474033343229,17,1,STOL
0.9886725877677586,0.004221961870752249,0.2752349368855834,0.010077588059048528,18,1,STOL
0.898669580033433,0.03657506698119532,0.875279641258274,0.22371021266530902,1,50,STOL
0.8877115435850605,0.0225261371059187,0.788317808459266,0.169188537035695,2,50,STOL
0.8821752468999309,0.021846392255573364,0.7876560072129576,0.16426963179458798,3,50,STOL
0.8947248979353569,0.02093769524347551,0.7755542360103085,0.16459207539011622,4,50,STOL
0.8765315045620506,0.02198491847021102,0.70693550254105,0.14614308361862086,5,50,STOL
0.8996340105841926,0.019108412322005972,0.6888725400428919,0.14169195032198814,6,50,STOL
0.8729227798085817,0.020314481653038143,0.7847596696946441,0.15575136571647055,7,50,STOL
0.882927445840286,0.019470406898846746,0.7172815295630319,0.14440976334213032,8,50,STOL
0.8283524278184058,0.022959070841538337,0.7504048816449511,0.1447144243966525,9,50,STOL
0.8743378420798025,0.01777869255240046,0.76211126322325,0.14669623593998982,10,50,STOL
0.8285740910815826,0.01874977634380043,0.9884027833746276,0.18385338541590376,11,50,STOL
0.8424215129029278,0.017847560116314425,0.9148744893821955,0.17067994882642107,12,50,STOL
0.7578900406058405,0.020768708206877994,0.9680516658381829,0.1761398188038001,13,50,STOL
0.8433109235671967,0.01627339599032159,0.8256589963784139,0.15012887319490228,14,50,STOL
0.8286361111263613,0.01795465583410371,0.9019886191920038,0.16354320771199166,15,50,STOL
0.845982033220357,0.019189719564150436,0.5283083949481326,0.09755775184391378,16,50,STOL
0.82792503710135,0.025229455970876637,0.46023776972721236,0.08219041995274343,17,50,STOL
0.9685804336385446,0.012179531103837269,0.15438989658628932,0.02528964278094774,18,50,STOL
0.8262707771931354,0.07436700368829076,1.1330626099424081,0.3670662513670818,1,100,STOL
0.8056372426230837,0.049980903948481564,0.9985143316768958,0.2644973818446433,2,100,STOL
0.7954540786150933,0.0485756561922814,1.001740029656475,0.25960808690843973,3,100,STOL
0.8110419440818962,0.04747372732015205,0.9962538126259851,0.26548057970694644,4,100,STOL
0.7881719967619863,0.04762556301673787,0.8978551824633199,0.23166388679443248,5,100,STOL
0.8169118540693031,0.0446192216200503,0.8863902450103919,0.22918898027193702,6,100,STOL
0.7888838575530449,0.04520376888044384,1.0379327644764538,0.26053992824755845,7,100,STOL
0.7950456571334761,0.04550288749642275,0.9975723765800002,0.25478264152991953,8,100,STOL
0.7350296882600088,0.04491015278731989,1.012349841536694,0.24882006207023075,9,100,STOL
0.7832885910393181,0.04163533038125161,1.0631145850186463,0.2580433932383577,10,100,STOL
0.7405794178935844,0.041869672400571795,1.371806584002877,0.3248294822130005,11,100,STOL
0.7481030062432479,0.04202010152481154,1.323603785335636,0.3140290620406498,12,100,STOL
0.6731283107579289,0.04297734716438256,1.2684747379430583,0.29437134249289776,13,100,STOL
0.7620767588499413,0.04008627024226857,1.1165829615693696,0.25692554290250363,14,100,STOL
0.7647315185903435,0.04186408304667837,1.1406012204178775,0.2595431517850689,15,100,STOL
0.7915637712167258,0.043144453246897065,0.6069221508602174,0.13816987317936105,16,100,STOL
0.7772332490177374,0.048765173692307325,0.49401777976987915,0.10920104821594676,17,100,STOL
0.9392978532213561,0.031626165789555516,0.17751721389086084,0.040861922554471644,18,100,STOL
0.7116601861269236,0.14298867740434315,1.1839620462605651,0.4993707159510374,1,200,STOL
0.6920652858693529,0.11884782362689567,1.0134750575342344,0.3790872576018844,2,200,STOL
0.6822770027856363,0.11638894874804229,1.038496769449546,0.3792253522891997,3,200,STOL
0.6970564539087567,0.11745467618405643,1.0111391349348613,0.37725913103035386,4,200,STOL
0.6778495500243428,0.11610836524103635,0.9117473867577566,0.3300266795033082,5,200,STOL
0.7070422577033733,0.11382676853218679,0.9701667315447071,0.35345234935613845,6,200,STOL
0.6835204904157282,0.11131630853393373,1.1270348263878218,0.4022649463625374,7,200,STOL
0.6859000004856596,0.11297569651359136,1.110894697652736,0.40071583956961215,8,200,STOL
0.6340064134701572,0.10905920002971187,1.1089434091206856,0.38731161344231735,9,200,STOL
0.6676025999263978,0.10868291734323461,1.2082912158149457,0.4199831448951985,10,200,STOL
0.6360016640719317,0.10740130992703652,1.566485266507664,0.5378665112464164,11,200,STOL
0.6387684227333484,0.1080860267406025,1.563679519368195,0.536388361591355,12,200,STOL
0.5759078156055165,0.10631775245469834,1.436690562761242,0.4850499794984651,13,200,STOL
0.6415965499478021,0.10984280029389012,1.2732184540656861,0.422715147114932,14,200,STOL
0.654393433780432,0.11356366524428217,1.2659895213442485,0.41129999503805914,15,200,STOL
0.674620568790448,0.11749234833842107,0.6633906204267744,0.20730420043789813,16,200,STOL
0.6622717774708048,0.1193078615409373,0.4956747544798213,0.15146228486995936,17,200,STOL
0.864201443124367,0.10139272088677316,0.1688428699145053,0.05570639964453216,18,200,STOL
0.9554673089107997,0.01883197817622698,1.3670906840457502,0.30828142977719486,1,1,OTTT
0.9497829590961051,0.015914426607179233,1.1622469969351374,0.21082278302603655,2,1,OTTT
0.9115747961283646,0.01862683804162022,0.8214973940128859,0.10336678749990108,3,1,OTTT
0.9119430590378033,0.01889933742988256,0.685285234077334,0.08640678941094256,4,1,OTTT
0.8853027855693607,0.02139639840509611,0.5922156688727429,0.06245746409455937,5,1,OTTT
0.8966708338214859,0.019133116078975342,0.6408020516287503,0.06484427936504565,6,1,OTTT
0.8338116158596532,0.024779449308135297,0.6953687369441864,0.0518025686548137,7,1,OTTT
0.7988913123342047,0.02750398859774228,0.6951345515922761,0.05027894338224818,8,1,OTTT
0.7815003887334034,0.026993581824507205,0.6776497406019292,0.04402271311334179,9,1,OTTT
0.8484869913010835,0.01903545630691084,0.681830081149039,0.044198039077131206,10,1,OTTT
0.7912328850749818,0.020249215360225118,0.8518139502455727,0.047997880541964445,11,1,OTTT
0.7456421923087898,0.023938613246872204,0.8728577180189604,0.04815169666365178,12,1,OTTT
0.7274722627122027,0.01809504981918573,0.8783207870018162,0.04627344677804476,13,1,OTTT
0.875355980002468,0.01171694113235325,0.6354285500724245,0.03531650371027199,14,1,OTTT
0.8830344029791681,0.013774552438765715,0.758244417388369,0.0387118440076022,15,1,OTTT
0.8243583898690843,0.01983025719849865,0.6658394690817663,0.03429635729030743,16,1,OTTT
0.8463360481011882,0.01638983844813784,0.6789083792213899,0.0327474033343229,17,1,OTTT
0.9886725877677586,0.004221961870752249,0.2752349368855834,0.010077588059048528,18,1,OTTT
0.8400695227019765,0.05293933037723621,1.234877474100428,0.3227932391668118,1,50,OTTT
0.8264655979891593,0.032175642579485575,1.0803276559149562,0.2418445826370544,2,50,OTTT
0.8203050264475745,0.03036443426327502,1.069862693052133,0.2348581044646224,3,50,OTTT
0.8427816813337055,0.029344259025870754,1.0644011610448743,0.2355534082907591,4,50,OTTT
0.82279774229902,0.02958655385687404,0.9420906272114621,0.20461236771626665,5,50,OTTT
0.8591683389435352,0.025715815787995828,0.9487712599632835,0.20487503794644782,6,50,OTTT
0.8332400457043959,0.025438179522393835,1.0176701727734638,0.21306745273693922,7,50,OTTT
0.8466709493522302,0.02496663828871379,0.9457444150988179,0.2003986668952341,8,50,OTTT
0.7918794980885583,0.02662456564435247,0.9002436283455921,0.18283106240259217,9,50,OTTT
0.847543568220395,0.021589054516476403,0.9615695724948268,0.19694844328111427,10,50,OTTT
0.8018599972224266,0.021610338424929362,1.139824003210141,0.22412346694933685,11,50,OTTT
0.8203588247909741,0.02077914328023989,1.0689120707072308,0.2108694872575933,12,50,OTTT
0.7386749168516884,0.023184034134693166,1.011061089521181,0.18958920968813667,13,50,OTTT
0.8292532497575738,0.01812577584836013,0.8988116899083122,0.1709603540426893,14,50,OTTT
0.8169386523481215,0.01902862347383858,0.9308421933849398,0.17246656302689894,15,50,OTTT
0.8379718136237922,0.019876941172765127,0.5343335100310103,0.09995024588757861,16,50,OTTT
0.82792503710135,0.025229455970876637,0.46023776972721236,0.08219041995274343,17,50,OTTT
0.9685804336385446,0.012179531103837269,0.15438989658628932,0.02528964278094774,18,50,OTTT
0.7479192935474093,0.10043841431189743,1.4630157852523915,0.5077818708364117,1,100,OTTT
0.7266163660377912,0.06443134531521937,1.2428549958175947,0.35049250573144297,2,100,OTTT
0.716252444800891,0.06123969036907968,1.2309132487383145,0.3404486988094278,3,100,OTTT
