Wall time,Step,Value
1700543292.169231,0,1.5854929685592651
1700543402.6576755,1,1.167440414428711
1700543513.2080247,2,0.947813868522644
1700543623.752278,3,0.8185470104217529
1700543734.3236403,4,0.7440326809883118
1700543844.796435,5,0.6689072847366333
1700543955.376081,6,0.6143656373023987
1700544065.9088025,7,0.5597066283226013
1700544176.4402688,8,0.5184080600738525
1700544286.9418726,9,0.4858974516391754
1700544397.4186485,10,0.45224741101264954
1700544507.9735088,11,0.4331900179386139
1700544618.4060206,12,0.41013506054878235
1700544728.93695,13,0.393269419670105
1700544839.4086063,14,0.37714070081710815
1700544949.9013875,15,0.3581135869026184
1700545060.4045458,16,0.34976014494895935
1700545170.9499698,17,0.3282972276210785
1700545281.5014918,18,0.3162044882774353
1700545392.0128486,19,0.30655449628829956
1700545502.577602,20,0.2972758114337921
1700545613.2075884,21,0.2880176901817322
1700545723.7910209,22,0.281962513923645
1700545834.3870394,23,0.2759406864643097
1700545944.9161766,24,0.2642664909362793
1700546055.4858615,25,0.25914719700813293
1700546166.0718555,26,0.252180814743042
1700546276.6335943,27,0.2507965862751007
1700546387.2154245,28,0.24038878083229065
1700546497.7243302,29,0.23733265697956085
1700546608.2547438,30,0.22928407788276672
1700546718.8277798,31,0.22804595530033112
1700546829.3745208,32,0.21873006224632263
1700546939.9783306,33,0.21842710673809052
1700547050.5478544,34,0.21352772414684296
1700547161.0829008,35,0.21533575654029846
1700547271.5718098,36,0.2043633908033371
1700547382.1677659,37,0.20712418854236603
1700547492.767258,38,0.19863411784172058
1700547603.3407958,39,0.19208376109600067
1700547713.7712803,40,0.1945715844631195
1700547824.2686167,41,0.19264253973960876
1700547934.7299957,42,0.1898387372493744
1700548045.1770124,43,0.18944628536701202
1700548155.6245863,44,0.18236756324768066
1700548266.040635,45,0.18246710300445557
1700548376.487957,46,0.1811511218547821
1700548486.935657,47,0.178533673286438
1700548597.3931751,48,0.17731453478336334
1700548707.8379636,49,0.17542442679405212
1700548818.3165088,50,0.17766468226909637
1700548928.7974486,51,0.17075718939304352
1700549039.2536123,52,0.1660383641719818
1700549149.7469778,53,0.1649351865053177
1700549260.1991713,54,0.16010190546512604
1700549370.6314266,55,0.15658703446388245
1700549481.1144507,56,0.15979677438735962
1700549591.5827034,57,0.15223464369773865
1700549702.0593133,58,0.15281334519386292
1700549812.5538032,59,0.14753206074237823
1700549923.0164938,60,0.14460809528827667
1700550033.497515,61,0.1469573676586151
1700550143.9301782,62,0.13758441805839539
1700550254.4213662,63,0.1419571191072464
1700550364.88698,64,0.14001427590847015
1700550475.3840516,65,0.13921423256397247
1700550585.849315,66,0.1369522213935852
1700550696.257326,67,0.13656720519065857
1700550806.7647433,68,0.133540078997612
1700550917.2708082,69,0.1265295445919037
1700551027.6898453,70,0.1293080449104309
1700551138.1704166,71,0.1308339238166809
1700551248.600952,72,0.12679216265678406
1700551359.095238,73,0.12389317899942398
1700551469.5397902,74,0.12729638814926147
1700551580.026318,75,0.12013667076826096
1700551690.5123737,76,0.11944856494665146
1700551800.9596953,77,0.12176867574453354
1700551911.4689293,78,0.1181996762752533
1700552021.964798,79,0.11688083410263062
1700552132.4340968,80,0.11661218106746674
1700552242.9180503,81,0.11842212080955505
1700552353.3969202,82,0.11177171021699905
1700552463.8953125,83,0.11298197507858276
1700552574.4032218,84,0.11061110347509384
1700552684.9300656,85,0.11072229593992233
1700552795.4519405,86,0.11062495410442352
1700552905.9068305,87,0.10625471919775009
1700553016.4487138,88,0.11002923548221588
1700553126.8875592,89,0.11177279055118561
1700553237.3613484,90,0.10922583192586899
1700553347.9507658,91,0.10292283445596695
1700553458.527364,92,0.10489867627620697
1700553569.173898,93,0.10311467945575714
1700553679.7374384,94,0.10292063653469086
1700553790.3529172,95,0.10195852071046829
1700553900.9963021,96,0.09921836853027344
1700554011.6219583,97,0.10513783246278763
1700554122.318413,98,0.099652498960495
1700554232.958283,99,0.10107633471488953
1700554343.5789304,100,0.10271432250738144
1700554454.1856782,101,0.10170790553092957
1700554564.8227558,102,0.0969003289937973
1700554675.455123,103,0.10302677750587463
1700554786.0872157,104,0.0994805172085762
1700554896.711212,105,0.09704486280679703
1700555007.3567393,106,0.10048669576644897
1700555117.9963443,107,0.09343922138214111
1700555228.6464722,108,0.09675469249486923
1700555339.3094099,109,0.09172256290912628
1700555449.9773571,110,0.09377661347389221
1700555560.6308851,111,0.09144718945026398
1700555671.3442364,112,0.09501340240240097
1700555781.9919486,113,0.09769660234451294
1700555892.6799757,114,0.09555213153362274
1700556003.2898517,115,0.09477439522743225
1700556113.8705275,116,0.09015998244285583
1700556224.4830732,117,0.0898953452706337
1700556335.053512,118,0.08865504711866379
1700556445.623051,119,0.08991100639104843
1700556556.197859,120,0.08796218782663345
1700556666.8195791,121,0.0910535603761673
1700556777.3814466,122,0.0861583799123764
1700556887.973488,123,0.08998103439807892
1700556998.5726569,124,0.08909248560667038
1700557109.14113,125,0.08551520854234695
1700557219.7424347,126,0.085360087454319
1700557330.3171842,127,0.08898359537124634
1700557440.874965,128,0.08634421974420547
1700557551.4018126,129,0.08202444761991501
1700557661.960718,130,0.08421417325735092
1700557772.5644763,131,0.08416539430618286
1700557883.18551,132,0.080750472843647
1700557993.8226342,133,0.08313434571027756
1700558104.4034686,134,0.08479064702987671
1700558214.9768965,135,0.08277326822280884
1700558325.5516677,136,0.0838644728064537
1700558436.1910667,137,0.08431538194417953
1700558546.8503683,138,0.07954315096139908
1700558657.4943426,139,0.08291047811508179
1700558768.1719658,140,0.07547257840633392
1700558878.8487287,141,0.0771513357758522
1700558989.5148072,142,0.08032989501953125
1700559100.159489,143,0.07932372391223907
1700559210.8533618,144,0.07709068059921265
1700559321.5676126,145,0.07417639344930649
1700559432.1691654,146,0.07570958137512207
1700559542.7032642,147,0.07565392553806305
1700559653.3007522,148,0.07520682364702225
1700559763.8485746,149,0.07142040878534317
1700559874.4451678,150,0.0739787295460701
1700559985.0861187,151,0.07244113087654114
1700560095.8039038,152,0.07157643884420395
1700560206.4727216,153,0.07203136384487152
1700560317.132264,154,0.07369871437549591
1700560427.8178616,155,0.07222822308540344
1700560538.5302477,156,0.07047373801469803
1700560649.1485589,157,0.07077553868293762
1700560759.7537086,158,0.06873807311058044
1700560870.3932824,159,0.06898065656423569
1700560981.0324895,160,0.07023782283067703
1700561091.726781,161,0.06933823972940445
1700561202.4120436,162,0.06991589814424515
1700561313.0558157,163,0.07093141227960587
1700561423.6923058,164,0.06927138566970825
1700561534.36635,165,0.06930045038461685
1700561644.9691505,166,0.07100499421358109
1700561755.490421,167,0.0672122985124588
1700561866.0270374,168,0.06849262863397598
1700561976.6071835,169,0.06651419401168823
1700562087.1873772,170,0.06754130125045776
1700562197.754877,171,0.06572664529085159
1700562308.3426824,172,0.06641591340303421
1700562418.869305,173,0.06473787128925323
1700562529.4542937,174,0.06339669227600098
1700562640.0868454,175,0.06283014267683029
1700562750.6246395,176,0.06400308758020401
1700562861.1724768,177,0.062083639204502106
1700562971.7143378,178,0.06324388086795807
1700563082.3451467,179,0.0620858334004879
1700563192.9696822,180,0.06369393318891525
1700563303.5647113,181,0.06038159132003784
1700563414.1221824,182,0.062094975262880325
1700563524.7248864,183,0.06258506327867508
1700563635.3286495,184,0.0649452656507492
1700563745.9278302,185,0.06002696603536606
1700563856.4814208,186,0.06154995039105415
1700563967.1177535,187,0.06119311600923538
1700564077.8055062,188,0.06141860410571098
1700564188.528416,189,0.06140966713428497
