Wall time,Step,Value
1704286880.4604473,0,1.728696584701538
1704287194.5945704,1,1.4025242328643799
1704287508.965524,2,1.1990149021148682
1704287823.4788706,3,1.0634784698486328
1704288137.659307,4,0.9679313898086548
1704288451.5818367,5,0.9003278613090515
1704288765.386695,6,0.8393173217773438
1704289079.678472,7,0.7868834137916565
1704289393.6654046,8,0.7358937859535217
1704289695.7528214,9,0.69840407371521
1704290010.2859132,10,0.6700230240821838
1704290324.561906,11,0.6358321309089661
1704290638.6566713,12,0.616972804069519
1704290952.2261634,13,0.5938336253166199
1704291265.756263,14,0.5703458189964294
1704291579.6348026,15,0.5539382696151733
1704291893.6240296,16,0.5414811968803406
1704292208.1197727,17,0.5211450457572937
1704292522.2035625,18,0.5088545680046082
1704292836.668086,19,0.49422380328178406
1704293150.9441392,20,0.4815274178981781
1704293452.3386486,21,0.46776074171066284
1704293766.8511465,22,0.4562901556491852
1704294081.1658578,23,0.45075303316116333
1704294395.1750326,24,0.4403301477432251
1704294709.5867455,25,0.43013182282447815
1704295023.8950274,26,0.42393967509269714
1704295337.7896879,27,0.40766042470932007
1704295652.162612,28,0.4013727605342865
1704295966.402094,29,0.3967258930206299
1704296280.3950088,30,0.3933183252811432
1704296594.4637785,31,0.3820479214191437
1704296908.7415168,32,0.375838965177536
1704297222.8219612,33,0.3763957917690277
1704297523.537273,34,0.3656490743160248
1704297837.6758666,35,0.35592886805534363
1704298151.910408,36,0.35769346356391907
1704298466.2189343,37,0.3422625660896301
1704298780.2622638,38,0.33866754174232483
1704299094.1822674,39,0.3368145823478699
1704299407.9793482,40,0.3308737277984619
1704299722.0668914,41,0.3291253447532654
1704300036.2550175,42,0.32412028312683105
1704300350.3477437,43,0.3245859146118164
1704300664.3589704,44,0.31517231464385986
1704300978.7561939,45,0.3112570345401764
1704301292.8966053,46,0.3073900640010834
1704301594.6525695,47,0.3057624101638794
1704301909.9617522,48,0.29406458139419556
1704302224.46181,49,0.2926848530769348
1704302538.162739,50,0.29320645332336426
1704302852.5159078,51,0.28689056634902954
1704303166.3872569,52,0.2912122309207916
1704303480.2476656,53,0.28482598066329956
1704303794.3232749,54,0.28048139810562134
1704304108.631532,55,0.27459409832954407
1704304422.771165,56,0.27478301525115967
1704304736.6704307,57,0.2662335932254791
1704305050.629496,58,0.26875486969947815
1704305364.530896,59,0.2610390782356262
1704305665.6625705,60,0.26382529735565186
1704305979.2841022,61,0.25900280475616455
1704306293.3649228,62,0.2514631152153015
1704306607.5261092,63,0.2571510672569275
1704306921.4801888,64,0.2554822862148285
1704307235.2899656,65,0.24784429371356964
1704307549.396023,66,0.24469394981861115
1704307863.7817466,67,0.24530747532844543
1704308177.6141129,68,0.24226044118404388
1704308492.053812,69,0.23325291275978088
1704308805.8871117,70,0.23966342210769653
1704309119.7514827,71,0.23139117658138275
1704309420.0730236,72,0.23214903473854065
1704309734.9225411,73,0.22386795282363892
1704310049.1536157,74,0.22271420061588287
1704310363.7736228,75,0.22993139922618866
